コード,カテゴリ,章,項目名（日本語）,項目名（英語）,定義・詳細解説
d865,活動と参加,第8章 主要な生活領域,複雑な経済的取引,Complex economic transactions,銀行口座管理、不動産取引、投資、契約。成年後見制度の対象となる判断能力。
d870,活動と参加,第8章 主要な生活領域,経済的自給自足,Economic self-sufficiency,公的扶助に頼らず、自己のリソースで生計を立てること。
d910,活動と参加,第9章 コミュニティ・社会・市民生活,コミュニティライフ,Community life,自治会、サークル活動、地域行事への参加。地域社会における「居場所」の確保。
d920,活動と参加,第9章 コミュニティ・社会・市民生活,レクリエーションとレジャー,Recreation and leisure,遊び、スポーツ、趣味、旅行、芸術鑑賞、ゲーム。ストレス対処や自己実現の場として機能する。
d930,活動と参加,第9章 コミュニティ・社会・市民生活,宗教とスピリチュアリティ,Religion and spirituality,宗教儀式への参加、祈り、精神的価値の追求。実存的苦悩への対処リソースとなる場合がある。
d940,活動と参加,第9章 コミュニティ・社会・市民生活,人権,Human rights,基本的人権の享受。差別からの保護。
d950,活動と参加,第9章 コミュニティ・社会・市民生活,政治的活動と市民権,Political life and citizenship,選挙権の行使、政治的意見表明、デモ参加、法的地位の享受。
e110,環境因子,第1章 生産物と用具,個人的消費のための生産物と物質,Products or substances for personal consumption,食物、薬、衣類。治療薬の副作用（阻害因子）や、栄養補助食品（促進因子）。
e115,環境因子,第1章 生産物と用具,日常生活における個人用の生産物と技術,Products and technology for personal use in daily living,家具、義肢装具、自助具、補聴器、白色杖。ADL自立の鍵。
e120,環境因子,第1章 生産物と用具,屋内・屋外の個人の移動と輸送のための生産物と技術,Products for personal indoor and outdoor mobility,車椅子、自動車、エレベーター、スロープ。移動の自由を担保するハードウェア。
e125,環境因子,第1章 生産物と用具,コミュニケーションのための生産物と技術,Products for communication,眼鏡、電話、PC、点字ディスプレイ、VOCA。情報アクセシビリティの中核。
e130,環境因子,第1章 生産物と用具,教育のための生産物と技術,Products for education,教科書、eラーニングシステム、教育用ソフト。
e135,環境因子,第1章 生産物と用具,雇用のための生産物と技術,Products for employment,オフィスの机、工具、工場の機械、人間工学的適応。合理的配慮の具現化。
e140,環境因子,第1章 生産物と用具,文化・レクリエーション・スポーツのための生産物と技術,Products for culture recreation and sport,楽器、スポーツ用具、映画館の設備、スキー板、ゲームコントローラーの改造。
e145,環境因子,第1章 生産物と用具,宗教とスピリチュアリティの実践のための生産物と技術,Products for practice of religion,宗教的建物、祭具、経典。
e150,環境因子,第1章 生産物と用具,公共用建物の設計建設建材工法と技術,Design of buildings for public use,公共施設のバリアフリー設計、ユニバーサルデザイン。アクセス権の物理的保障。
e155,環境因子,第1章 生産物と用具,私的用建物の設計建設建材工法と技術,Design of buildings for private use,自宅の構造、トイレの配置。住宅改修による自立促進。
e160,環境因子,第1章 生産物と用具,土地開発に関する生産物と技術,Products of land development,都市計画、公園の配置、道路網の整備状況。
e165,環境因子,第1章 生産物と用具,資産に関する生産物と技術,Assets,金融商品、貨幣、電子マネー。経済的取引の媒体。
e210,環境因子,第2章 自然環境と人間がもたらした環境変化,地形,Physical geography,坂道、水域、地表面の状態（砂利道など）。車椅子利用者の移動バリア。
e215,環境因子,第2章 自然環境と人間がもたらした環境変化,人口,Population,人口密度、混雑。パニック障害や対人恐怖においては避けるべき阻害因子となる。
e220,環境因子,第2章 自然環境と人間がもたらした環境変化,動植物,Flora and fauna,ペット、介助犬（促進因子）、アレルゲンとなる植物（阻害因子）。
e225,環境因子,第2章 自然環境と人間がもたらした環境変化,気候,Climate,気温、湿度、気圧。リウマチや喘息、気象病への影響。
e230,環境因子,第2章 自然環境と人間がもたらした環境変化,自然災害,Natural events,地震、台風、洪水。災害弱者への対応計画が必要。
e235,環境因子,第2章 自然環境と人間がもたらした環境変化,人間が引き起こした災害,Human-caused events,戦争、環境汚染、火災。紛争地帯における障害者の脆弱性。
e240,環境因子,第2章 自然環境と人間がもたらした環境変化,光,Light,照明の明るさ、自然光。視覚障害者の見えやすさや、光過敏性発作への影響。
e245,環境因子,第2章 自然環境と人間がもたらした環境変化,時間に関連した変化,Time-related changes,昼夜のリズム、季節の変化。冬季うつ病（SAD）など。
e250,環境因子,第2章 自然環境と人間がもたらした環境変化,音,Sound,騒音、静けさ。聴覚過敏や難聴者へのSN比の影響。
e255,環境因子,第2章 自然環境と人間がもたらした環境変化,振動,Vibration,乗り物の振動、工事振動。痙縮の誘発要因となることがある。
e260,環境因子,第2章 自然環境と人間がもたらした環境変化,空気の質,Air quality,屋内の換気、大気汚染、タバコの煙。化学物質過敏症（MCS）に関連。
e310,環境因子,第3章 支援と関係,家族（狭義）,Immediate family,同居家族、配偶者、親、子。主要なケア提供者であり、情緒的支柱。
e315,環境因子,第3章 支援と関係,大家族,Extended family,親戚、祖父母、叔父叔母。拡張的なセーフティネット。
e320,環境因子,第3章 支援と関係,友人,Friends,信頼関係のある友人。孤立防止の鍵。
e325,環境因子,第3章 支援と関係,知人仲間同僚隣人および地域住民,Acquaintances,職場の人、近所の人。日常的な緩やかなつながり。
e330,環境因子,第3章 支援と関係,権限をもつ人々,People in positions of authority,上司、教師、行政官、警察官。意思決定に影響を与えるキーパーソン。
e335,環境因子,第3章 支援と関係,部下など,People in subordinate positions,自分が指導・管理する立場にある人々。リーダーシップの発揮。
e340,環境因子,第3章 支援と関係,対人的ケア提供者とパーソナルアシスタント,Personal care providers,ヘルパー、介護者、ガイドヘルパー。専門的な人的支援。
e345,環境因子,第3章 支援と関係,見知らぬ人,Strangers,通行人、店員など一時的な関係。街中での手助けなど。
e350,環境因子,第3章 支援と関係,家畜化された動物,Domesticated animals,ペット、盲導犬、介助犬、聴導犬。情緒的支援および機能的代償。
e355,環境因子,第3章 支援と関係,保健専門職,Health professionals,医師、看護師、PT/OT/ST、心理士。医療モデル的支援の提供者。
e360,環境因子,第3章 支援と関係,その他の専門職,Other professionals,ソーシャルワーカー、弁護士、建築家、教員。社会モデル的支援の提供者。
e410,環境因子,第4章 態度,家族（狭義）の個人の態度,Individual attitudes of immediate family,家族の受容、過保護、拒絶、無関心。本人の自己肯定感に直結。
e415,環境因子,第4章 態度,大家族の個人の態度,Individual attitudes of extended family,親族の偏見や支援的態度。
e420,環境因子,第4章 態度,友人の個人の態度,Individual attitudes of friends,友人の理解と共感。
e425,環境因子,第4章 態度,知人仲間同僚隣人および地域住民の個人の態度,Individual attitudes of acquaintances,職場の同僚の障害理解。インクルーシブな職場風土か、排除的な空気か。
e430,環境因子,第4章 態度,権限をもつ人々の個人の態度,Individual attitudes of people in authority,雇用主の偏見（採用差別）や、教師の期待値。
e435,環境因子,第4章 態度,部下などの個人の態度,Individual attitudes of people in subordinate,障害を持つ上司に対する部下の態度。
e440,環境因子,第4章 態度,対人的ケア提供者とパーソナルアシスタントの個人の態度,Individual attitudes of care providers,支援者の価値観（管理主義か、自立支援か）。
e445,環境因子,第4章 態度,見知らぬ人の個人の態度,Individual attitudes of strangers,街中での凝視、無視、あるいは親切な振る舞い。
e450,環境因子,第4章 態度,保健専門職の個人の態度,Individual attitudes of health professionals,医療者のパターナリズム（父権主義）か、患者中心のケアか。
e455,環境因子,第4章 態度,その他の専門職の個人の態度,Individual attitudes of other professionals,
e460,環境因子,第4章 態度,社会的な態度,Societal attitudes,社会全体の規範、差別意識、スティグマ、慣習、宗教的ドグマ。
e465,環境因子,第4章 態度,社会規範慣習イデオロギー,Social norms practices and ideologies,競争原理、能力主義（メリトクラシー）、優生思想などの抽象的な価値体系。
e510,環境因子,第5章 サービス・制度・政策,消費財の生産に関するサービス・制度・政策,Services for production of consumer goods,食品安全基準、製品規格（JIS等）。
e515,環境因子,第5章 サービス・制度・政策,建築と建設に関するサービス・制度・政策,Architecture and construction,建築基準法、バリアフリー法。物理的アクセスの法的保障。
e520,環境因子,第5章 サービス・制度・政策,オープンスペースの計画に関するサービス・制度・政策,Open space planning,都市公園法、道路占有許可。都市の回遊性。
e525,環境因子,第5章 サービス・制度・政策,住宅に関するサービス・制度・政策,Housing,公営住宅制度、住宅改修助成、家賃補助。居住の権利。
e530,環境因子,第5章 サービス・制度・政策,公益事業（ユーティリティ）に関するサービス・制度・政策,Utilities,電気、ガス、水道、インターネット供給のユニバーサルサービス義務。
e535,環境因子,第5章 サービス・制度・政策,コミュニケーションに関するサービス・制度・政策,Communication,放送法、手話通訳派遣制度、情報保障に関する法整備。
e540,環境因子,第5章 サービス・制度・政策,輸送（交通）に関するサービス・制度・政策,Transportation,公共交通機関の運賃割引、福祉有償運送、ノンステップバス導入義務化。
e545,環境因子,第5章 サービス・制度・政策,市民の保護に関するサービス・制度・政策,Civil protection,警察、消防、防災計画。災害時の要援護者登録制度。
e550,環境因子,第5章 サービス・制度・政策,法的なサービス・制度・政策,Legal,裁判制度、法律扶助、成年後見制度、障害者差別解消法。権利擁護の最後の砦。
e555,環境因子,第5章 サービス・制度・政策,協会・組織に関するサービス・制度・政策,Associations and organizational,障害者団体、親の会、専門職協会の活動支援。
e560,環境因子,第5章 サービス・制度・政策,メディアに関するサービス・制度・政策,Media,報道倫理、アクセシブルな放送（字幕・解説放送）の普及政策。
e565,環境因子,第5章 サービス・制度・政策,経済に関するサービス・制度・政策,Economic,金融政策、税制優遇措置。
e570,環境因子,第5章 サービス・制度・政策,社会保障に関するサービス・制度・政策,Social security,年金、生活保護、障害手当、特別児童扶養手当。所得保障。
e575,環境因子,第5章 サービス・制度・政策,一般的社会による支援に関するサービス・制度・政策,General social support,災害時の義援金配分、フードバンクなど。公助と共助の間。
e580,環境因子,第5章 サービス・制度・政策,保健（医療）に関するサービス・制度・政策,Health,医療保険制度、自立支援医療、リハビリテーション提供体制。
e585,環境因子,第5章 サービス・制度・政策,教育と訓練に関するサービス・制度・政策,Education and training,学校教育法、特別支援教育制度、合理的配慮の提供義務。
e590,環境因子,第5章 サービス・制度・政策,労働と雇用に関するサービス・制度・政策,Labour and employment,障害者雇用促進法（法定雇用率）、納付金制度、ジョブコーチ制度。
e595,環境因子,第5章 サービス・制度・政策,政治に関するサービス・制度・政策,Political,選挙権、郵便投票制度、バリアフリー投票所、障害者権利条約（CRPD）の批准。
